turns,winner
143,Player 1
431,Player 2
245,Player 1
404,Player 1
267,Player 1
203,Player 1
557,Player 2
187,Player 1
106,Player 2
99,Player 2
164,Player 1
99,Player 1
509,Player 1
45,Player 1
394,Player 2
149,Player 1
283,Player 2
89,Player 2
205,Player 1
82,Player 2
91,Player 1
39,Player 2
103,Player 2
62,Player 1
382,Player 2
297,Player 2
85,Player 1
691,Player 2
33,Player 2
489,Player 2
77,Player 2
271,Player 2
221,Player 1
218,Player 1
135,Player 2
109,Player 2
83,Player 2
129,Player 1
191,Player 1
1145,Player 1
195,Player 2
651,Player 2
279,Player 2
70,Player 1
332,Player 2
119,Player 1
286,Player 1
274,Player 1
443,Player 2
95,Player 2
169,Player 2
185,Player 2
248,Player 1
67,Player 2
485,Player 2
319,Player 1
245,Player 1
118,Player 2
237,Player 1
194,Player 2
71,Player 2
275,Player 2
635,Player 2
157,Player 1
597,Player 2
313,Player 1
53,Player 1
33,Player 2
81,Player 1
306,Player 1
212,Player 2
593,Player 2
124,Player 2
291,Player 2
330,Player 1
111,Player 2
117,Player 1
261,Player 1
213,Player 1
275,Player 1
57,Player 2
145,Player 1
117,Player 1
448,Player 2
211,Player 2
137,Player 2
83,Player 1
293,Player 2
329,Player 2
193,Player 1
139,Player 2
237,Player 1
537,Player 2
666,Player 1
85,Player 1
65,Player 1
116,Player 1
269,Player 2
108,Player 2
517,Player 2
72,Player 2
45,Player 2
265,Player 1
40,Player 2
125,Player 1
299,Player 1
75,Player 2
141,Player 2
119,Player 2
447,Player 1
81,Player 2
367,Player 2
353,Player 1
346,Player 2
233,Player 1
506,Player 1
207,Player 1
73,Player 1
387,Player 1
87,Player 1
65,Player 2
179,Player 1
54,Player 2
286,Player 1
327,Player 1
550,Player 1
309,Player 2
120,Player 1
479,Player 2
232,Player 2
97,Player 1
513,Player 1
163,Player 1
49,Player 1
127,Player 1
229,Player 1
262,Player 1
207,Player 1
166,Player 1
85,Player 1
121,Player 2
90,Player 2
315,Player 2
170,Player 1
131,Player 2
154,Player 1
179,Player 2
49,Player 1
387,Player 1
419,Player 2
199,Player 2
108,Player 1
306,Player 2
109,Player 2
